anio;mes;hec_cub;;;;;;;;;;;
1998;enero;23,891;;;;;;;;;;;
;febrero;23,816;;;;;;;;;;;
;marzo;23,245;;;;;;;;;;;
;abril;23,35;;;;;;;;;;;
;mayo;23,678;;;;;;;;;;;
;junio;21,947;;;;;;;;;;;
;julio;18,924;;;;;;;;;;;
;agosto;15,802;;;;;;;;;;;
;septiembre;13,085;;;;;;;;;;;
;octubre;11,208;;;;;;;;;;;
;noviembre;9,802;;;;;;;;;;;
;diciembre;8,315;;;;;;;;;;;
1999;enero;9,5;;;;;;;;;;;
;febrero;11,823;;;;;;;;;;;
;marzo;12,75;;;;;;;;;;;
;abril;11,733;;;;;;;;;;;
;mayo;12,366;;;;;;;;;;;
;junio;9,996;;;;;;;;;;;
;julio;5,747;;;;;;;;;;;
;agosto;3,866;;;;;;;;;;;
;septiembre;3,627;;;;;;;;;;;
;octubre;3,807;;;;;;;;;;;
;noviembre;4,668;;;;;;;;;;;
;diciembre;6,1;;;;;;;;;;;
2000;enero;7,496;;;;;;;;;;;
;febrero;7,807;;;;;;;;;;;
;marzo;7,392;;;;;;;;;;;
;abril;12,366;;;;;;;;;;;
;mayo;16,081;;;;;;;;;;;
;junio;16,345;;;;;;;;;;;
;julio;13,829;;;;;;;;;;;
;agosto;11,786;;;;;;;;;;;
;septiembre;10,891;;;;;;;;;;;
;octubre;6,508;;;;;;;;;;;
;noviembre;6,637;;;;;;;;;;;
;diciembre;12,814;;;;;;;;;;;
2001;enero;23,625;;;;;;;;;;;
;febrero;23,763;;;;;;;;;;;
;marzo;23,795;;;;;;;;;;;
;abril;23,742;;;;;;;;;;;
;mayo;23,721;;;;;;;;;;;
;junio;23,488;;;;;;;;;;;
;julio;17,716;;;;;;;;;;;
;agosto;15,242;;;;;;;;;;;
;septiembre;14,979;;;;;;;;;;;
;octubre;15,005;;;;;;;;;;;
;noviembre;14,988;;;;;;;;;;;
;diciembre;15,014;;;;;;;;;;;
2002;enero;14,71;;;;;;;;;;;
;febrero;12,997;;;;;;;;;;;
;marzo;14,953;;;;;;;;;;;
;abril;16,345;;;;;;;;;;;
;mayo;17,51;;;;;;;;;;;
;junio;12,973;;;;;;;;;;;
;julio;7,706;;;;;;;;;;;
;agosto;4,094;;;;;;;;;;;
;septiembre;6,758;;;;;;;;;;;
;octubre;5,508;;;;;;;;;;;
;noviembre;7,12;;;;;;;;;;;
;diciembre;13,352;;;;;;;;;;;
2003;enero;17,131;;;;;;;;;;;
;febrero;20,927;;;;;;;;;;;
;marzo;23,912;;;;;;;;;;;
;abril;23,816;;;;;;;;;;;
;mayo;22,771;;;;;;;;;;;
;junio;19,786;;;;;;;;;;;
;julio;14,753;;;;;;;;;;;
;agosto;10,963;;;;;;;;;;;
;septiembre;9,135;;;;;;;;;;;
;octubre;9,976;;;;;;;;;;;
;noviembre;14,84;;;;;;;;;;;
;diciembre;22,687;;;;;;;;;;;
2004;enero;23,298;;;;;;;;;;;
;febrero;23,519;;;;;;;;;;;
;marzo;23,562;;;;;;;;;;;
;abril;23,371;;;;;;;;;;;
;mayo;23,71;;;;;;;;;;;
;junio;22,363;;;;;;;;;;;
;julio;18,641;;;;;;;;;;;
;agosto;15,11;;;;;;;;;;;
;septiembre;13,581;;;;;;;;;;;
;octubre;12,973;;;;;;;;;;;
;noviembre;12,853;;;;;;;;;;;
;diciembre;14,962;;;;;;;;;;;
2005;enero;15,775;;;;;;;;;;;
;febrero;16,336;;;;;;;;;;;
;marzo;19,15;;;;;;;;;;;
;abril;20,51;;;;;;;;;;;
;mayo;18,641;;;;;;;;;;;
;junio;14,436;;;;;;;;;;;
;julio;9,789;;;;;;;;;;;
;agosto;9,103;;;;;;;;;;;
