anio;mes;hec_cub;;;;;;;;;;;
1998;enero;0,182;;;;;;;;;;;
;febrero;0,617;;;;;;;;;;;
;marzo;0,5;;;;;;;;;;;
;abril;0,639;;;;;;;;;;;
;mayo;0,625;;;;;;;;;;;
;junio;0,559;;;;;;;;;;;
;julio;0,643;;;;;;;;;;;
;agosto;0,584;;;;;;;;;;;
;septiembre;0,336;;;;;;;;;;;
;octubre;0,191;;;;;;;;;;;
;noviembre;0,257;;;;;;;;;;;
;diciembre;0,37;;;;;;;;;;;
1999;enero;0,546;;;;;;;;;;;
;febrero;0,576;;;;;;;;;;;
;marzo;0,203;;;;;;;;;;;
;abril;0,543;;;;;;;;;;;
;mayo;0,333;;;;;;;;;;;
;junio;0,494;;;;;;;;;;;
;julio;0,516;;;;;;;;;;;
;agosto;0,471;;;;;;;;;;;
;septiembre;0,47;;;;;;;;;;;
;octubre;0,365;;;;;;;;;;;
;noviembre;0,241;;;;;;;;;;;
;diciembre;0,409;;;;;;;;;;;
2000;enero;0,497;;;;;;;;;;;
;febrero;0,368;;;;;;;;;;;
;marzo;0,239;;;;;;;;;;;
;abril;0,347;;;;;;;;;;;
;mayo;0,353;;;;;;;;;;;
;junio;0,442;;;;;;;;;;;
;julio;0,485;;;;;;;;;;;
;agosto;0,483;;;;;;;;;;;
;septiembre;0,465;;;;;;;;;;;
;octubre;0,418;;;;;;;;;;;
;noviembre;0,612;;;;;;;;;;;
;diciembre;0,227;;;;;;;;;;;
2001;enero;0,186;;;;;;;;;;;
;febrero;0,352;;;;;;;;;;;
;marzo;0,304;;;;;;;;;;;
;abril;0,359;;;;;;;;;;;
;mayo;0,488;;;;;;;;;;;
;junio;0,358;;;;;;;;;;;
;julio;0,304;;;;;;;;;;;
;agosto;0,225;;;;;;;;;;;
;septiembre;0,215;;;;;;;;;;;
;octubre;0,346;;;;;;;;;;;
;noviembre;0,335;;;;;;;;;;;
;diciembre;0,276;;;;;;;;;;;
2002;enero;0,267;;;;;;;;;;;
;febrero;0,344;;;;;;;;;;;
;marzo;0,415;;;;;;;;;;;
;abril;0,312;;;;;;;;;;;
;mayo;0,374;;;;;;;;;;;
;junio;0,455;;;;;;;;;;;
;julio;0,447;;;;;;;;;;;
;agosto;0,345;;;;;;;;;;;
;septiembre;0,374;;;;;;;;;;;
;octubre;0,416;;;;;;;;;;;
;noviembre;0,312;;;;;;;;;;;
;diciembre;0,406;;;;;;;;;;;
2003;enero;0,45;;;;;;;;;;;
;febrero;0,519;;;;;;;;;;;
;marzo;0,528;;;;;;;;;;;
;abril;0,513;;;;;;;;;;;
;mayo;0,35;;;;;;;;;;;
;junio;0,283;;;;;;;;;;;
;julio;0,315;;;;;;;;;;;
;agosto;0,323;;;;;;;;;;;
;septiembre;0,333;;;;;;;;;;;
;octubre;0,377;;;;;;;;;;;
;noviembre;0,335;;;;;;;;;;;
;diciembre;0,512;;;;;;;;;;;
2004;enero;0,512;;;;;;;;;;;
;febrero;0,512;;;;;;;;;;;
;marzo;0,515;;;;;;;;;;;
;abril;0,499;;;;;;;;;;;
;mayo;0,515;;;;;;;;;;;
;junio;0,36;;;;;;;;;;;
;julio;0,393;;;;;;;;;;;
;agosto;0,408;;;;;;;;;;;
;septiembre;0,41;;;;;;;;;;;
;octubre;0,338;;;;;;;;;;;
;noviembre;0,31;;;;;;;;;;;
;diciembre;0,41;;;;;;;;;;;
2005;enero;0,343;;;;;;;;;;;
;febrero;0,374;;;;;;;;;;;
;marzo;0,363;;;;;;;;;;;
;abril;0,316;;;;;;;;;;;
;mayo;0,335;;;;;;;;;;;
;junio;0,388;;;;;;;;;;;
;julio;0,392;;;;;;;;;;;
;agosto;0,39;;;;;;;;;;;
;septiembre;0,385;;;;;;;;;;;
;octubre;0,328;;;;;;;;;;;
;noviembre;0,314;;;;;;;;;;;
;diciembre;0,272;;;;;;;;;;;
2006;enero;0,261;;;;;;;;;;;
;febrero;0,285;;;;;;;;;;;
;marzo;0,356;;;;;;;;;;;
;abril;0,361;;;;;;;;;;;
;mayo;0,296;;;;;;;;;;;
;junio;0,308;;;;;;;;;;;
;julio;0,255;;;;;;;;;;;
;agosto;0,259;;;;;;;;;;;
;septiembre;0,267;;;;;;;;;;;
;octubre;0,356;;;;;;;;;;;
;noviembre;0,517;;;;;;;;;;;
;diciembre;0,443;;;;;;;;;;;
2007;enero;0,459;;;;;;;;;;;
;febrero;0,387;;;;;;;;;;;
;marzo;0,387;;;;;;;;;;;
;abril;0,442;;;;;;;;;;;
;mayo;0,513;;;;;;;;;;;
;junio;0,443;;;;;;;;;;;
;julio;0,368;;;;;;;;;;;
;agosto;0,4;;;;;;;;;;;
;septiembre;0,415;;;;;;;;;;;
;octubre;0,356;;;;;;;;;;;
;noviembre;0,396;;;;;;;;;;;
;diciembre;0,445;;;;;;;;;;;
2008;enero;0,377;;;;;;;;;;;
;febrero;0,467;;;;;;;;;;;
;marzo;0,346;;;;;;;;;;;
;abril;0,464;;;;;;;;;;;
;mayo;0,458;;;;;;;;;;;
;junio;0,423;;;;;;;;;;;
;julio;0,356;;;;;;;;;;;
;agosto;0,373;;;;;;;;;;;
;septiembre;0,398;;;;;;;;;;;
;octubre;0,445;;;;;;;;;;;
;noviembre;0,367;;;;;;;;;;;
;diciembre;0,355;;;;;;;;;;;
2009;enero;0,464;;;;;;;;;;;
;febrero;0,456;;;;;;;;;;;
;marzo;0,429;;;;;;;;;;;
;abril;0,431;;;;;;;;;;;
;mayo;0,399;;;;;;;;;;;
;junio;0,397;;;;;;;;;;;
;julio;0,397;;;;;;;;;;;
;agosto;0,384;;;;;;;;;;;
;septiembre;0,38;;;;;;;;;;;
;octubre;0,393;;;;;;;;;;;
;noviembre;0,419;;;;;;;;;;;
;diciembre;0,406;;;;;;;;;;;
2010;enero;0,386;;;;;;;;;;;
;febrero;0,409;;;;;;;;;;;
;marzo;0,401;;;;;;;;;;;
;abril;0,419;;;;;;;;;;;
;mayo;0,361;;;;;;;;;;;
;junio;0,446;;;;;;;;;;;
;julio;0,377;;;;;;;;;;;
;agosto;0,332;;;;;;;;;;;
;septiembre;0,299;;;;;;;;;;;
;octubre;0,308;;;;;;;;;;;
;noviembre;0,407;;;;;;;;;;;
;diciembre;0,408;;;;;;;;;;;
2011;enero;0,353;;;;;;;;;;;
;febrero;0,436;;;;;;;;;;;
;marzo;0,515;;;;;;;;;;;
;abril;0,516;;;;;;;;;;;
;mayo;0,366;;;;;;;;;;;
;junio;0,373;;;;;;;;;;;
;julio;0,375;;;;;;;;;;;
;agosto;0,347;;;;;;;;;;;
;septiembre;0,306;;;;;;;;;;;
;octubre;0,292;;;;;;;;;;;
;noviembre;0,364;;;;;;;;;;;
;diciembre;0,362;;;;;;;;;;;
2012;enero;0,388;;;;;;;;;;;
;febrero;0,386;;;;;;;;;;;
;marzo;0,382;;;;;;;;;;;
;abril;0,39;;;;;;;;;;;
;mayo;0,433;;;;;;;;;;;
;junio;0,384;;;;;;;;;;;
;julio;0,374;;;;;;;;;;;
;agosto;0,334;;;;;;;;;;;
;septiembre;0,309;;;;;;;;;;;
;octubre;0,301;;;;;;;;;;;
;noviembre;0,357;;;;;;;;;;;
;diciembre;0,363;;;;;;;;;;;
2013;enero;0,406;;;;;;;;;;;
;febrero;0,344;;;;;;;;;;;
;marzo;0,523;;;;;;;;;;;
;abril;0,515;;;;;;;;;;;
;mayo;0,501;;;;;;;;;;;
;junio;0,377;;;;;;;;;;;
;julio;0,387;;;;;;;;;;;
;agosto;0,366;;;;;;;;;;;
;septiembre;0,344;;;;;;;;;;;
;octubre;0,38;;;;;;;;;;;
;noviembre;0,416;;;;;;;;;;;
;diciembre;0,392;;;;;;;;;;;
2014;enero;0,385;;;;;;;;;;;
;febrero;0,514;;;;;;;;;;;
;marzo;0,515;;;;;;;;;;;
;abril;0,508;;;;;;;;;;;
;mayo;0,369;;;;;;;;;;;
;junio;0,421;;;;;;;;;;;
;julio;0,433;;;;;;;;;;;
;agosto;0,411;;;;;;;;;;;
;septiembre;0,397;;;;;;;;;;;
;octubre;0,368;;;;;;;;;;;
;noviembre;0,362;;;;;;;;;;;
;diciembre;0,34;;;;;;;;;;;
2015;enero;0,52;;;;;;;;;;;
;febrero;0,517;;;;;;;;;;;
