anio;mes;hec_cub;;;;;;;;;;;
1998;enero;118,99;;;;;;;;;;;
;febrero;119,578;;;;;;;;;;;
;marzo;119,063;;;;;;;;;;;
;abril;119,578;;;;;;;;;;;
;mayo;120,833;;;;;;;;;;;
;junio;109,389;;;;;;;;;;;
;julio;95,295;;;;;;;;;;;
;agosto;86,685;;;;;;;;;;;
;septiembre;81,99;;;;;;;;;;;
;octubre;78,129;;;;;;;;;;;
;noviembre;74,97;;;;;;;;;;;
;diciembre;71,615;;;;;;;;;;;
1999;enero;67,243;;;;;;;;;;;
;febrero;64,38;;;;;;;;;;;
;marzo;59,91;;;;;;;;;;;
;abril;59,351;;;;;;;;;;;
;mayo;69,764;;;;;;;;;;;
;junio;77,447;;;;;;;;;;;
;julio;77,238;;;;;;;;;;;
;agosto;73,102;;;;;;;;;;;
;septiembre;76,201;;;;;;;;;;;
;octubre;82,758;;;;;;;;;;;
;noviembre;86,399;;;;;;;;;;;
;diciembre;89,521;;;;;;;;;;;
2000;enero;91,593;;;;;;;;;;;
;febrero;92,733;;;;;;;;;;;
;marzo;91,652;;;;;;;;;;;
;abril;101,887;;;;;;;;;;;
;mayo;100,592;;;;;;;;;;;
;junio;86,971;;;;;;;;;;;
;julio;75,378;;;;;;;;;;;
;agosto;65,339;;;;;;;;;;;
;septiembre;56,242;;;;;;;;;;;
;octubre;51,139;;;;;;;;;;;
;noviembre;57,154;;;;;;;;;;;
;diciembre;85,888;;;;;;;;;;;
2001;enero;114,292;;;;;;;;;;;
;febrero;113,086;;;;;;;;;;;
;marzo;112,662;;;;;;;;;;;
;abril;104,253;;;;;;;;;;;
;mayo;94,313;;;;;;;;;;;
;junio;82,154;;;;;;;;;;;
;julio;70,247;;;;;;;;;;;
;agosto;59,608;;;;;;;;;;;
;septiembre;50,105;;;;;;;;;;;
;octubre;46,8;;;;;;;;;;;
;noviembre;49,386;;;;;;;;;;;
;diciembre;48,899;;;;;;;;;;;
2002;enero;50,831;;;;;;;;;;;
;febrero;53,928;;;;;;;;;;;
;marzo;60,689;;;;;;;;;;;
;abril;67,055;;;;;;;;;;;
;mayo;69,571;;;;;;;;;;;
;junio;71,615;;;;;;;;;;;
;julio;72,803;;;;;;;;;;;
;agosto;63,341;;;;;;;;;;;
;septiembre;51,719;;;;;;;;;;;
;octubre;51,953;;;;;;;;;;;
;noviembre;53,131;;;;;;;;;;;
;diciembre;79,666;;;;;;;;;;;
2003;enero;91,175;;;;;;;;;;;
;febrero;99,183;;;;;;;;;;;
;marzo;112,451;;;;;;;;;;;
;abril;116,154;;;;;;;;;;;
;mayo;110,356;;;;;;;;;;;
;junio;96,473;;;;;;;;;;;
;julio;88,936;;;;;;;;;;;
;agosto;87,603;;;;;;;;;;;
;septiembre;86,627;;;;;;;;;;;
;octubre;85,491;;;;;;;;;;;
;noviembre;99,055;;;;;;;;;;;
;diciembre;118,185;;;;;;;;;;;
2004;enero;118,55;;;;;;;;;;;
;febrero;119,137;;;;;;;;;;;
;marzo;118,039;;;;;;;;;;;
;abril;119,43;;;;;;;;;;;
;mayo;121,726;;;;;;;;;;;
;junio;111,26;;;;;;;;;;;
;julio;99,183;;;;;;;;;;;
;agosto;86,685;;;;;;;;;;;
;septiembre;74,715;;;;;;;;;;;
;octubre;69,909;;;;;;;;;;;
;noviembre;74,411;;;;;;;;;;;
;diciembre;79,293;;;;;;;;;;;
2005;enero;81,663;;;;;;;;;;;
;febrero;80,74;;;;;;;;;;;
;marzo;84,255;;;;;;;;;;;
;abril;89,228;;;;;;;;;;;
;mayo;93,278;;;;;;;;;;;
;junio;95,79;;;;;;;;;;;
;julio;87,372;;;;;;;;;;;
;agosto;74,36;;;;;;;;;;;
;septiembre;62,094;;;;;;;;;;;
;octubre;62,537;;;;;;;;;;;
;noviembre;64,289;;;;;;;;;;;
;diciembre;67,76;;;;;;;;;;;
2006;enero;78,287;;;;;;;;;;;
;febrero;83,865;;;;;;;;;;;
;marzo;98,992;;;;;;;;;;;
;abril;105,921;;;;;;;;;;;
;mayo;104,784;;;;;;;;;;;
;junio;105,988;;;;;;;;;;;
;julio;106,122;;;;;;;;;;;
;agosto;104,253;;;;;;;;;;;
;septiembre;100,657;;;;;;;;;;;
;octubre;98,674;;;;;;;;;;;
;noviembre;115,507;;;;;;;;;;;
;diciembre;116,443;;;;;;;;;;;
2007;enero;115,722;;;;;;;;;;;
;febrero;118,55;;;;;;;;;;;
;marzo;119,357;;;;;;;;;;;
;abril;116,732;;;;;;;;;;;
;mayo;113,369;;;;;;;;;;;
;junio;110,982;;;;;;;;;;;
;julio;113,015;;;;;;;;;;;
;agosto;115,363;;;;;;;;;;;
;septiembre;108,018;;;;;;;;;;;
;octubre;107,135;;;;;;;;;;;
;noviembre;110,843;;;;;;;;;;;
;diciembre;113,865;;;;;;;;;;;
2008;enero;115,579;;;;;;;;;;;
;febrero;117,529;;;;;;;;;;;
;marzo;118,697;;;;;;;;;;;
;abril;116,949;;;;;;;;;;;
;mayo;119,063;;;;;;;;;;;
;junio;118,55;;;;;;;;;;;
;julio;120,315;;;;;;;;;;;
;agosto;119,946;;;;;;;;;;;
;septiembre;118,331;;;;;;;;;;;
;octubre;111,96;;;;;;;;;;;
;noviembre;102,279;;;;;;;;;;;
;diciembre;104,784;;;;;;;;;;;
2009;enero;100,786;;;;;;;;;;;
;febrero;96,162;;;;;;;;;;;
;marzo;95,419;;;;;;;;;;;
;abril;98,104;;;;;;;;;;;
;mayo;101,173;;;;;;;;;;;
;junio;102,999;;;;;;;;;;;
;julio;94,926;;;;;;;;;;;
;agosto;84,423;;;;;;;;;;;
;septiembre;74,411;;;;;;;;;;;
;octubre;64,38;;;;;;;;;;;
;noviembre;63,072;;;;;;;;;;;
;diciembre;66,681;;;;;;;;;;;
2010;enero;71,664;;;;;;;;;;;
;febrero;86,342;;;;;;;;;;;
;marzo;108,428;;;;;;;;;;;
;abril;114,791;;;;;;;;;;;
;mayo;111,4;;;;;;;;;;;
;junio;109,596;;;;;;;;;;;
;julio;100,013;;;;;;;;;;;
;agosto;91,414;;;;;;;;;;;
;septiembre;87,603;;;;;;;;;;;
;octubre;88,995;;;;;;;;;;;
;noviembre;99,757;;;;;;;;;;;
;diciembre;104,518;;;;;;;;;;;
2011;enero;105,251;;;;;;;;;;;
;febrero;106,797;;;;;;;;;;;
;marzo;110,495;;;;;;;;;;;
;abril;114,719;;;;;;;;;;;
;mayo;116,587;;;;;;;;;;;
;junio;110,703;;;;;;;;;;;
;julio;101,433;;;;;;;;;;;
;agosto;92,192;;;;;;;;;;;
;septiembre;86,001;;;;;;;;;;;
;octubre;81,662;;;;;;;;;;;
