anio;mes;hec_cub;;;;;;;;;;;
1998;enero;45,882;;;;;;;;;;;
;febrero;46,043;;;;;;;;;;;
;marzo;39,928;;;;;;;;;;;
;abril;42,443;;;;;;;;;;;
;mayo;49,165;;;;;;;;;;;
;junio;41,751;;;;;;;;;;;
;julio;24,442;;;;;;;;;;;
;agosto;13,855;;;;;;;;;;;
;septiembre;8,98;;;;;;;;;;;
;octubre;13,34;;;;;;;;;;;
;noviembre;12,72;;;;;;;;;;;
;diciembre;16,277;;;;;;;;;;;
1999;enero;21,14;;;;;;;;;;;
;febrero;19,967;;;;;;;;;;;
;marzo;22,558;;;;;;;;;;;
;abril;24,412;;;;;;;;;;;
;mayo;28,557;;;;;;;;;;;
;junio;19,771;;;;;;;;;;;
;julio;14,06;;;;;;;;;;;
;agosto;9,749;;;;;;;;;;;
;septiembre;7,881;;;;;;;;;;;
;octubre;17,827;;;;;;;;;;;
;noviembre;23,233;;;;;;;;;;;
;diciembre;37,434;;;;;;;;;;;
2000;enero;33,373;;;;;;;;;;;
;febrero;27,601;;;;;;;;;;;
;marzo;15,738;;;;;;;;;;;
;abril;49,045;;;;;;;;;;;
;mayo;48,306;;;;;;;;;;;
;junio;36,247;;;;;;;;;;;
;julio;36,917;;;;;;;;;;;
;agosto;36,956;;;;;;;;;;;
;septiembre;37,036;;;;;;;;;;;
;octubre;27,261;;;;;;;;;;;
;noviembre;30,117;;;;;;;;;;;
;diciembre;41,528;;;;;;;;;;;
2001;enero;48,188;;;;;;;;;;;
;febrero;44,14;;;;;;;;;;;
;marzo;47,388;;;;;;;;;;;
;abril;47,857;;;;;;;;;;;
;mayo;37,695;;;;;;;;;;;
;junio;24,054;;;;;;;;;;;
;julio;9,274;;;;;;;;;;;
;agosto;8,662;;;;;;;;;;;
;septiembre;8,262;;;;;;;;;;;
;octubre;9,933;;;;;;;;;;;
;noviembre;10,649;;;;;;;;;;;
;diciembre;9,498;;;;;;;;;;;
2002;enero;10,373;;;;;;;;;;;
;febrero;10,127;;;;;;;;;;;
;marzo;15,33;;;;;;;;;;;
;abril;15,961;;;;;;;;;;;
;mayo;12,923;;;;;;;;;;;
;junio;12,511;;;;;;;;;;;
;julio;9,305;;;;;;;;;;;
;agosto;8,972;;;;;;;;;;;
;septiembre;9,71;;;;;;;;;;;
;octubre;14,039;;;;;;;;;;;
;noviembre;21,154;;;;;;;;;;;
;diciembre;45,312;;;;;;;;;;;
2003;enero;47,201;;;;;;;;;;;
;febrero;48,117;;;;;;;;;;;
;marzo;47,952;;;;;;;;;;;
;abril;47,693;;;;;;;;;;;
;mayo;42,617;;;;;;;;;;;
;junio;26,083;;;;;;;;;;;
;julio;19,32;;;;;;;;;;;
;agosto;14,931;;;;;;;;;;;
;septiembre;11,043;;;;;;;;;;;
;octubre;13,324;;;;;;;;;;;
;noviembre;32,004;;;;;;;;;;;
;diciembre;44,882;;;;;;;;;;;
2004;enero;44,927;;;;;;;;;;;
;febrero;44,949;;;;;;;;;;;
;marzo;46,227;;;;;;;;;;;
;abril;44,096;;;;;;;;;;;
;mayo;46,25;;;;;;;;;;;
;junio;34,382;;;;;;;;;;;
;julio;15,462;;;;;;;;;;;
;agosto;7,653;;;;;;;;;;;
;septiembre;6,641;;;;;;;;;;;
;octubre;8,912;;;;;;;;;;;
;noviembre;8,41;;;;;;;;;;;
;diciembre;9,397;;;;;;;;;;;
2005;enero;11,367;;;;;;;;;;;
;febrero;12,025;;;;;;;;;;;
;marzo;14,548;;;;;;;;;;;
;abril;14,643;;;;;;;;;;;
;mayo;12,72;;;;;;;;;;;
;junio;7,242;;;;;;;;;;;
;julio;6,872;;;;;;;;;;;
;agosto;6,653;;;;;;;;;;;
;septiembre;6,569;;;;;;;;;;;
;octubre;8,059;;;;;;;;;;;
;noviembre;12,778;;;;;;;;;;;
;diciembre;14,506;;;;;;;;;;;
2006;enero;15,07;;;;;;;;;;;
;febrero;14,973;;;;;;;;;;;
;marzo;38,688;;;;;;;;;;;
;abril;42,139;;;;;;;;;;;
;mayo;31,201;;;;;;;;;;;
;junio;22,473;;;;;;;;;;;
;julio;16,085;;;;;;;;;;;
;agosto;10,532;;;;;;;;;;;
;septiembre;7,726;;;;;;;;;;;
;octubre;16,632;;;;;;;;;;;
;noviembre;44,904;;;;;;;;;;;
;diciembre;43,408;;;;;;;;;;;
2007;enero;37,195;;;;;;;;;;;
;febrero;47,411;;;;;;;;;;;
;marzo;43,319;;;;;;;;;;;
;abril;47,388;;;;;;;;;;;
;mayo;46,875;;;;;;;;;;;
;junio;37,314;;;;;;;;;;;
;julio;20,748;;;;;;;;;;;
;agosto;14,122;;;;;;;;;;;
;septiembre;12,644;;;;;;;;;;;
;octubre;11,42;;;;;;;;;;;
