anio;mes;hec_cub;;;;;;;;;;;
1998;enero;326,784;;;;;;;;;;;
;febrero;327,59;;;;;;;;;;;
;marzo;336,267;;;;;;;;;;;
;abril;353,267;;;;;;;;;;;
;mayo;391,448;;;;;;;;;;;
;junio;412,483;;;;;;;;;;;
;julio;405,935;;;;;;;;;;;
;agosto;388,735;;;;;;;;;;;
;septiembre;366,046;;;;;;;;;;;
;octubre;336,358;;;;;;;;;;;
;noviembre;306,506;;;;;;;;;;;
;diciembre;277,656;;;;;;;;;;;
1999;enero;254,298;;;;;;;;;;;
;febrero;232,187;;;;;;;;;;;
;marzo;235,053;;;;;;;;;;;
;abril;244,001;;;;;;;;;;;
;mayo;262,633;;;;;;;;;;;
;junio;257,007;;;;;;;;;;;
;julio;236,235;;;;;;;;;;;
;agosto;216,535;;;;;;;;;;;
;septiembre;196,024;;;;;;;;;;;
;octubre;187,777;;;;;;;;;;;
;noviembre;180,915;;;;;;;;;;;
;diciembre;188,088;;;;;;;;;;;
2000;enero;197,154;;;;;;;;;;;
;febrero;203,813;;;;;;;;;;;
;marzo;209,496;;;;;;;;;;;
;abril;276,197;;;;;;;;;;;
;mayo;330,917;;;;;;;;;;;
;junio;336,905;;;;;;;;;;;
;julio;314,487;;;;;;;;;;;
;agosto;286,672;;;;;;;;;;;
;septiembre;258,407;;;;;;;;;;;
;octubre;241,596;;;;;;;;;;;
;noviembre;243,023;;;;;;;;;;;
;diciembre;291,578;;;;;;;;;;;
2001;enero;329,746;;;;;;;;;;;
;febrero;338,824;;;;;;;;;;;
;marzo;361,541;;;;;;;;;;;
;abril;385,338;;;;;;;;;;;
;mayo;408,006;;;;;;;;;;;
;junio;417,312;;;;;;;;;;;
;julio;410,084;;;;;;;;;;;
;agosto;380,378;;;;;;;;;;;
;septiembre;349,924;;;;;;;;;;;
;octubre;321,175;;;;;;;;;;;
;noviembre;293,672;;;;;;;;;;;
;diciembre;277,737;;;;;;;;;;;
2002;enero;265,631;;;;;;;;;;;
;febrero;254,529;;;;;;;;;;;
;marzo;247,406;;;;;;;;;;;
;abril;239,428;;;;;;;;;;;
;mayo;226,948;;;;;;;;;;;
;junio;218,298;;;;;;;;;;;
;julio;203,135;;;;;;;;;;;
;agosto;180,346;;;;;;;;;;;
;septiembre;171,08;;;;;;;;;;;
;octubre;172,306;;;;;;;;;;;
;noviembre;182,629;;;;;;;;;;;
;diciembre;231,821;;;;;;;;;;;
2003;enero;287,666;;;;;;;;;;;
;febrero;325,979;;;;;;;;;;;
;marzo;366,046;;;;;;;;;;;
;abril;391,045;;;;;;;;;;;
;mayo;406,556;;;;;;;;;;;
;junio;401,304;;;;;;;;;;;
;julio;378,406;;;;;;;;;;;
;agosto;349,27;;;;;;;;;;;
;septiembre;326,426;;;;;;;;;;;
;octubre;315,187;;;;;;;;;;;
;noviembre;316,678;;;;;;;;;;;
;diciembre;323,749;;;;;;;;;;;
2004;enero;327,949;;;;;;;;;;;
;febrero;329,027;;;;;;;;;;;
;marzo;350,672;;;;;;;;;;;
;abril;374,777;;;;;;;;;;;
;mayo;407,384;;;;;;;;;;;
;junio;417,52;;;;;;;;;;;
;julio;406,763;;;;;;;;;;;
;agosto;383,845;;;;;;;;;;;
;septiembre;352,359;;;;;;;;;;;
;octubre;327,321;;;;;;;;;;;
;noviembre;311,35;;;;;;;;;;;
;diciembre;309,701;;;;;;;;;;;
2005;enero;300,941;;;;;;;;;;;
;febrero;288,828;;;;;;;;;;;
;marzo;278,957;;;;;;;;;;;
;abril;281,16;;;;;;;;;;;
;mayo;257,706;;;;;;;;;;;
;junio;228,396;;;;;;;;;;;
