anio;mes;hec_cub;;;;;;;;;;;
1998;enero;30,331;;;;;;;;;;;
;febrero;30,254;;;;;;;;;;;
;marzo;30,02;;;;;;;;;;;
;abril;31,674;;;;;;;;;;;
;mayo;35,518;;;;;;;;;;;
;junio;29,596;;;;;;;;;;;
;julio;28,418;;;;;;;;;;;
;agosto;26,073;;;;;;;;;;;
;septiembre;22,086;;;;;;;;;;;
;octubre;21,86;;;;;;;;;;;
;noviembre;22,839;;;;;;;;;;;
;diciembre;23,005;;;;;;;;;;;
1999;enero;25,399;;;;;;;;;;;
;febrero;29,289;;;;;;;;;;;
;marzo;30,02;;;;;;;;;;;
;abril;30,331;;;;;;;;;;;
;mayo;30,098;;;;;;;;;;;
;junio;28,455;;;;;;;;;;;
;julio;26,216;;;;;;;;;;;
;agosto;25,611;;;;;;;;;;;
;septiembre;25,505;;;;;;;;;;;
;octubre;26,395;;;;;;;;;;;
;noviembre;23,708;;;;;;;;;;;
;diciembre;23,005;;;;;;;;;;;
2000;enero;25,223;;;;;;;;;;;
;febrero;27,895;;;;;;;;;;;
;marzo;28,568;;;;;;;;;;;
;abril;32,968;;;;;;;;;;;
;mayo;32,438;;;;;;;;;;;
;junio;31,554;;;;;;;;;;;
;julio;29,06;;;;;;;;;;;
;agosto;25,859;;;;;;;;;;;
;septiembre;22,872;;;;;;;;;;;
;octubre;20,781;;;;;;;;;;;
;noviembre;27,821;;;;;;;;;;;
;diciembre;30,527;;;;;;;;;;;
2001;enero;30,176;;;;;;;;;;;
;febrero;30,37;;;;;;;;;;;
;marzo;32,601;;;;;;;;;;;
;abril;32,682;;;;;;;;;;;
;mayo;32,968;;;;;;;;;;;
;junio;32,276;;;;;;;;;;;
;julio;29,865;;;;;;;;;;;
;agosto;26,684;;;;;;;;;;;
;septiembre;23,81;;;;;;;;;;;
;octubre;18,985;;;;;;;;;;;
;noviembre;18,139;;;;;;;;;;;
;diciembre;17,569;;;;;;;;;;;
2002;enero;19,553;;;;;;;;;;;
;febrero;20,906;;;;;;;;;;;
;marzo;25,223;;;;;;;;;;;
;abril;30,566;;;;;;;;;;;
;mayo;31,994;;;;;;;;;;;
;junio;31,794;;;;;;;;;;;
;julio;29,289;;;;;;;;;;;
;agosto;26,359;;;;;;;;;;;
;septiembre;22,086;;;;;;;;;;;
;octubre;19,015;;;;;;;;;;;
;noviembre;19,795;;;;;;;;;;;
;diciembre;23,776;;;;;;;;;;;
2003;enero;25,646;;;;;;;;;;;
;febrero;30,215;;;;;;;;;;;
;marzo;36,553;;;;;;;;;;;
;abril;33,709;;;;;;;;;;;
;mayo;33,792;;;;;;;;;;;
;junio;32,723;;;;;;;;;;;
;julio;29,789;;;;;;;;;;;
;agosto;26,575;;;;;;;;;;;
;septiembre;22,248;;;;;;;;;;;
;octubre;22,543;;;;;;;;;;;
;noviembre;27,341;;;;;;;;;;;
;diciembre;33,255;;;;;;;;;;;
2004;enero;32,156;;;;;;;;;;;
;febrero;32,642;;;;;;;;;;;
;marzo;33,875;;;;;;;;;;;
;abril;33,833;;;;;;;;;;;
;mayo;34,628;;;;;;;;;;;
;junio;33,916;;;;;;;;;;;
;julio;31,554;;;;;;;;;;;
;agosto;28,568;;;;;;;;;;;
;septiembre;25,646;;;;;;;;;;;
;octubre;25,752;;;;;;;;;;;
;noviembre;27,969;;;;;;;;;;;
;diciembre;29,289;;;;;;;;;;;
2005;enero;29,865;;;;;;;;;;;
;febrero;28,87;;;;;;;;;;;
;marzo;28,681;;;;;;;;;;;
;abril;33,543;;;;;;;;;;;
;mayo;33,502;;;;;;;;;;;
;junio;31,674;;;;;;;;;;;
;julio;27,932;;;;;;;;;;;
;agosto;25,153;;;;;;;;;;;
;septiembre;23,675;;;;;;;;;;;
;octubre;22,608;;;;;;;;;;;
;noviembre;21,063;;;;;;;;;;;
;diciembre;20,656;;;;;;;;;;;
2006;enero;19,433;;;;;;;;;;;
;febrero;21,189;;;;;;;;;;;
;marzo;30,841;;;;;;;;;;;
;abril;30,098;;;;;;;;;;;
;mayo;30,253;;;;;;;;;;;
;junio;29,327;;;;;;;;;;;
;julio;26,54;;;;;;;;;;;
;agosto;23,204;;;;;;;;;;;
;septiembre;20,5;;;;;;;;;;;
;octubre;16,954;;;;;;;;;;;
;noviembre;24,048;;;;;;;;;;;
;diciembre;30,762;;;;;;;;;;;
2007;enero;25,118;;;;;;;;;;;
;febrero;27,451;;;;;;;;;;;
;marzo;31,077;;;;;;;;;;;
;abril;33,502;;;;;;;;;;;
;mayo;33,792;;;;;;;;;;;
;junio;34,292;;;;;;;;;;;
;julio;32,56;;;;;;;;;;;
;agosto;29,711;;;;;;;;;;;
;septiembre;26,938;;;;;;;;;;;
;octubre;24,666;;;;;;;;;;;
;noviembre;22,773;;;;;;;;;;;
;diciembre;21,032;;;;;;;;;;;
2008;enero;22,151;;;;;;;;;;;
;febrero;23,98;;;;;;;;;;;
;marzo;28,193;;;;;;;;;;;
;abril;29,634;;;;;;;;;;;
;mayo;31,395;;;;;;;;;;;
;junio;32,196;;;;;;;;;;;
;julio;30,762;;;;;;;;;;;
;agosto;27,858;;;;;;;;;;;
;septiembre;24,631;;;;;;;;;;;
;octubre;20,594;;;;;;;;;;;
;noviembre;19,045;;;;;;;;;;;
;diciembre;18,661;;;;;;;;;;;
2009;enero;30,998;;;;;;;;;;;
;febrero;33,585;;;;;;;;;;;
;marzo;33,709;;;;;;;;;;;
;abril;32,764;;;;;;;;;;;
;mayo;33,875;;;;;;;;;;;
;junio;32,357;;;;;;;;;;;
;julio;29,366;;;;;;;;;;;
;agosto;26,108;;;;;;;;;;;
;septiembre;23,238;;;;;;;;;;;
;octubre;20,687;;;;;;;;;;;
;noviembre;18,985;;;;;;;;;;;
;diciembre;24,048;;;;;;;;;;;
2010;enero;27,451;;;;;;;;;;;
;febrero;27,488;;;;;;;;;;;
;marzo;29,711;;;;;;;;;;;
;abril;31,157;;;;;;;;;;;
;mayo;30,88;;;;;;;;;;;
;junio;31,714;;;;;;;;;;;
;julio;30,176;;;;;;;;;;;
;agosto;27,157;;;;;;;;;;;
;septiembre;24,562;;;;;;;;;;;
;octubre;23,005;;;;;;;;;;;
;noviembre;27,858;;;;;;;;;;;
;diciembre;30,959;;;;;;;;;;;
2011;enero;31,554;;;;;;;;;;;
;febrero;33,461;;;;;;;;;;;
;marzo;35,99;;;;;;;;;;;
;abril;35,518;;;;;;;;;;;
;mayo;34,502;;;;;;;;;;;
;junio;35,305;;;;;;;;;;;
;julio;32,56;;;;;;;;;;;
;agosto;29,442;;;;;;;;;;;
;septiembre;26,503;;;;;;;;;;;
;octubre;23,98;;;;;;;;;;;
;noviembre;29,481;;;;;;;;;;;
;diciembre;30,176;;;;;;;;;;;
2012;enero;29,827;;;;;;;;;;;
;febrero;28,833;;;;;;;;;;;
;marzo;29,06;;;;;;;;;;;
;abril;34,796;;;;;;;;;;;
;mayo;32,927;;;;;;;;;;;
;junio;31,514;;;;;;;;;;;
;julio;28,871;;;;;;;;;;;
;agosto;25,54;;;;;;;;;;;
;septiembre;23,005;;;;;;;;;;;
;octubre;21,189;;;;;;;;;;;
;noviembre;27,084;;;;;;;;;;;
;diciembre;22,806;;;;;;;;;;;
2013;enero;35,561;;;;;;;;;;;
;febrero;30,176;;;;;;;;;;;
;marzo;33,792;;;;;;;;;;;
;abril;33,05;;;;;;;;;;;
;mayo;35,647;;;;;;;;;;;
;junio;33,958;;;;;;;;;;;
;julio;32,56;;;;;;;;;;;
;agosto;29,711;;;;;;;;;;;
;septiembre;26,975;;;;;;;;;;;
;octubre;25,469;;;;;;;;;;;
;noviembre;24,562;;;;;;;;;;;
;diciembre;25,188;;;;;;;;;;;
2014;enero;32,115;;;;;;;;;;;
;febrero;32,277;;;;;;;;;;;
;marzo;32,398;;;;;;;;;;;
;abril;32,035;;;;;;;;;;;
;mayo;30,919;;;;;;;;;;;
;junio;29,982;;;;;;;;;;;
;julio;27,895;;;;;;;;;;;
;agosto;24,839;;;;;;;;;;;
;septiembre;22,281;;;;;;;;;;;
;octubre;22,444;;;;;;;;;;;
;noviembre;30,527;;;;;;;;;;;
;diciembre;30,605;;;;;;;;;;;
2015;enero;33,958;;;;;;;;;;;
;febrero;31,794;;;;;;;;;;;
;marzo;31,874;;;;;;;;;;;
;abril;33,378;;;;;;;;;;;
;mayo;34,544;;;;;;;;;;;
;junio;33,75;;;;;;;;;;;
;julio;30,801;;;;;;;;;;;
;agosto;27,858;;;;;;;;;;;
;septiembre;24,805;;;;;;;;;;;
;octubre;22,872;;;;;;;;;;;
;noviembre;23,675;;;;;;;;;;;
;diciembre;20,843;;;;;;;;;;;
2016;enero;27,635;;;;;;;;;;;
;febrero;27,672;;;;;;;;;;;
;marzo;31,914;;;;;;;;;;;
;abril;33,091;;;;;;;;;;;
;mayo;33,709;;;;;;;;;;;
;junio;33,958;;;;;;;;;;;
;julio;30,919;;;;;;;;;;;
;agosto;27,598;;;;;;;;;;;
;septiembre;24,597;;;;;;;;;;;
;octubre;22,641;;;;;;;;;;;
;noviembre;24,082;;;;;;;;;;;
;diciembre;26,938;;;;;;;;;;;
2017;enero;27,635;;;;;;;;;;;
;febrero;29,213;;;;;;;;;;;
;marzo;28,833;;;;;;;;;;;
;abril;30,098;;;;;;;;;;;
;mayo;29,788;;;;;;;;;;;
;junio;27,562;;;;;;;;;;;
;julio;25,048;;;;;;;;;;;
;agosto;22,281;;;;;;;;;;;
;septiembre;19,493;;;;;;;;;;;
;octubre;16,844;;;;;;;;;;;
;noviembre;14,256;;;;;;;;;;;
;diciembre;16,598;;;;;;;;;;;
2018;enero;20,781;;;;;;;;;;;
;febrero;21,38;;;;;;;;;;;
;marzo;29,866;;;;;;;;;;;
;abril;32,601;;;;;;;;;;;
;mayo;30,488;;;;;;;;;;;
;junio;29,404;;;;;;;;;;;
;julio;27,048;;;;;;;;;;;
;agosto;23,98;;;;;;;;;;;
;septiembre;21,158;;;;;;;;;;;
;octubre;19,313;;;;;;;;;;;
;noviembre;26,938;;;;;;;;;;;
;diciembre;26,757;;;;;;;;;;;
2019;enero;26,395;;;;;;;;;;;
;febrero;25,293;;;;;;;;;;;
;marzo;28,305;;;;;;;;;;;
