anio;mes;hec_cub;;;;;;;;;;;
1998;enero;41,769;;;;;;;;;;;
;febrero;41,442;;;;;;;;;;;
;marzo;40,911;;;;;;;;;;;
;abril;44,173;;;;;;;;;;;
;mayo;50,395;;;;;;;;;;;
;junio;43,927;;;;;;;;;;;
;julio;43,706;;;;;;;;;;;
;agosto;43,051;;;;;;;;;;;
;septiembre;42,358;;;;;;;;;;;
;octubre;34,594;;;;;;;;;;;
;noviembre;32,867;;;;;;;;;;;
;diciembre;32,255;;;;;;;;;;;
1999;enero;34,359;;;;;;;;;;;
;febrero;37,832;;;;;;;;;;;
;marzo;41,049;;;;;;;;;;;
;abril;41,049;;;;;;;;;;;
;mayo;41,141;;;;;;;;;;;
;junio;40,819;;;;;;;;;;;
;julio;40,386;;;;;;;;;;;
;agosto;39,889;;;;;;;;;;;
;septiembre;39,443;;;;;;;;;;;
;octubre;40,454;;;;;;;;;;;
;noviembre;40,454;;;;;;;;;;;
;diciembre;39,244;;;;;;;;;;;
2000;enero;41,257;;;;;;;;;;;
;febrero;43,172;;;;;;;;;;;
;marzo;43,1;;;;;;;;;;;
;abril;47,995;;;;;;;;;;;
;mayo;46,162;;;;;;;;;;;
;junio;42,931;;;;;;;;;;;
;julio;38,804;;;;;;;;;;;
;agosto;39,532;;;;;;;;;;;
;septiembre;36,945;;;;;;;;;;;
;octubre;35,228;;;;;;;;;;;
;noviembre;39,133;;;;;;;;;;;
;diciembre;41,003;;;;;;;;;;;
2001;enero;41,234;;;;;;;;;;;
;febrero;42,382;;;;;;;;;;;
;marzo;45,094;;;;;;;;;;;
;abril;45,145;;;;;;;;;;;
;mayo;40,159;;;;;;;;;;;
;junio;27,943;;;;;;;;;;;
;julio;26,665;;;;;;;;;;;
;agosto;27,116;;;;;;;;;;;
;septiembre;26,68;;;;;;;;;;;
;octubre;28,382;;;;;;;;;;;
;noviembre;28,235;;;;;;;;;;;
;diciembre;27,543;;;;;;;;;;;
2002;enero;28,927;;;;;;;;;;;
;febrero;29,685;;;;;;;;;;;
;marzo;28,86;;;;;;;;;;;
;abril;33,548;;;;;;;;;;;
;mayo;35,671;;;;;;;;;;;
;junio;28,089;;;;;;;;;;;
;julio;21,409;;;;;;;;;;;
;agosto;20,995;;;;;;;;;;;
;septiembre;19,464;;;;;;;;;;;
;octubre;17,281;;;;;;;;;;;
;noviembre;18,911;;;;;;;;;;;
;diciembre;24,139;;;;;;;;;;;
2003;enero;29,413;;;;;;;;;;;
;febrero;35,731;;;;;;;;;;;
;marzo;51,78;;;;;;;;;;;
;abril;45,906;;;;;;;;;;;
;mayo;45,626;;;;;;;;;;;
;junio;42,263;;;;;;;;;;;
;julio;39,111;;;;;;;;;;;
;agosto;38,391;;;;;;;;;;;
;septiembre;37,133;;;;;;;;;;;
;octubre;36,282;;;;;;;;;;;
;noviembre;39,576;;;;;;;;;;;
;diciembre;42,62;;;;;;;;;;;
2004;enero;42,311;;;;;;;;;;;
;febrero;43,853;;;;;;;;;;;
;marzo;45,17;;;;;;;;;;;
;abril;45,626;;;;;;;;;;;
;mayo;48,155;;;;;;;;;;;
;junio;47,782;;;;;;;;;;;
;julio;45,397;;;;;;;;;;;
;agosto;43,244;;;;;;;;;;;
;septiembre;41,465;;;;;;;;;;;
;octubre;40,888;;;;;;;;;;;
;noviembre;39,889;;;;;;;;;;;
;diciembre;32,587;;;;;;;;;;;
2005;enero;27,384;;;;;;;;;;;
;febrero;28,219;;;;;;;;;;;
;marzo;34,379;;;;;;;;;;;
;abril;36,82;;;;;;;;;;;
;mayo;38,024;;;;;;;;;;;
;junio;36,612;;;;;;;;;;;
;julio;14,625;;;;;;;;;;;
;agosto;4,075;;;;;;;;;;;
;septiembre;4,325;;;;;;;;;;;
;octubre;4,371;;;;;;;;;;;
;noviembre;4,034;;;;;;;;;;;
;diciembre;5,767;;;;;;;;;;;
2006;enero;2,107;;;;;;;;;;;
;febrero;2,547;;;;;;;;;;;
;marzo;5,621;;;;;;;;;;;
;abril;9,416;;;;;;;;;;;
;mayo;24,38;;;;;;;;;;;
;junio;44,669;;;;;;;;;;;
;julio;48,423;;;;;;;;;;;
;agosto;39,487;;;;;;;;;;;
;septiembre;22,09;;;;;;;;;;;
;octubre;16,204;;;;;;;;;;;
;noviembre;25,043;;;;;;;;;;;
;diciembre;23,02;;;;;;;;;;;
2007;enero;18,832;;;;;;;;;;;
;febrero;21,935;;;;;;;;;;;
;marzo;26,897;;;;;;;;;;;
;abril;42,787;;;;;;;;;;;
;mayo;42,763;;;;;;;;;;;
;junio;46,368;;;;;;;;;;;
;julio;45,473;;;;;;;;;;;
;agosto;33,377;;;;;;;;;;;
;septiembre;28,645;;;;;;;;;;;
;octubre;23,087;;;;;;;;;;;
;noviembre;12,761;;;;;;;;;;;
;diciembre;12,605;;;;;;;;;;;
2008;enero;14,772;;;;;;;;;;;
;febrero;16,895;;;;;;;;;;;
;marzo;19,546;;;;;;;;;;;
;abril;37,47;;;;;;;;;;;
;mayo;45,372;;;;;;;;;;;
;junio;41,722;;;;;;;;;;;
;julio;38,586;;;;;;;;;;;
;agosto;35,029;;;;;;;;;;;
;septiembre;33,263;;;;;;;;;;;
;octubre;31,67;;;;;;;;;;;
;noviembre;34,34;;;;;;;;;;;
;diciembre;36,077;;;;;;;;;;;
2009;enero;37,917;;;;;;;;;;;
;febrero;47,175;;;;;;;;;;;
;marzo;44,919;;;;;;;;;;;
;abril;40,092;;;;;;;;;;;
;mayo;40,024;;;;;;;;;;;
;junio;34,772;;;;;;;;;;;
;julio;16,065;;;;;;;;;;;
;agosto;2,954;;;;;;;;;;;
;septiembre;2,178;;;;;;;;;;;
;octubre;1,955;;;;;;;;;;;
;noviembre;8,38;;;;;;;;;;;
;diciembre;20,636;;;;;;;;;;;
2010;enero;33,759;;;;;;;;;;;
;febrero;36,986;;;;;;;;;;;
;marzo;42,883;;;;;;;;;;;
;abril;44,569;;;;;;;;;;;
;mayo;43,755;;;;;;;;;;;
;junio;47,809;;;;;;;;;;;
;julio;42,644;;;;;;;;;;;
;agosto;37,175;;;;;;;;;;;
;septiembre;39,867;;;;;;;;;;;
;octubre;43,487;;;;;;;;;;;
;noviembre;41,049;;;;;;;;;;;
;diciembre;41,559;;;;;;;;;;;
2011;enero;43,22;;;;;;;;;;;
;febrero;48,477;;;;;;;;;;;
;marzo;49,62;;;;;;;;;;;
;abril;49,072;;;;;;;;;;;
;mayo;48,396;;;;;;;;;;;
;junio;47,835;;;;;;;;;;;
;julio;47,703;;;;;;;;;;;
;agosto;43,633;;;;;;;;;;;
;septiembre;41,816;;;;;;;;;;;
;octubre;40,773;;;;;;;;;;;
;noviembre;42,811;;;;;;;;;;;
;diciembre;40,272;;;;;;;;;;;
2012;enero;38,695;;;;;;;;;;;
;febrero;38,804;;;;;;;;;;;
;marzo;38,629;;;;;;;;;;;
;abril;45,17;;;;;;;;;;;
;mayo;46,111;;;;;;;;;;;
;junio;39,822;;;;;;;;;;;
;julio;40,137;;;;;;;;;;;
;agosto;40,499;;;;;;;;;;;
;septiembre;40,659;;;;;;;;;;;
;octubre;42,763;;;;;;;;;;;
;noviembre;39,111;;;;;;;;;;;
;diciembre;34,184;;;;;;;;;;;
2013;enero;41,141;;;;;;;;;;;
;febrero;42,572;;;;;;;;;;;
;marzo;50,9;;;;;;;;;;;
;abril;47,968;;;;;;;;;;;
;mayo;50,339;;;;;;;;;;;
;junio;48,774;;;;;;;;;;;
;julio;48,531;;;;;;;;;;;
;agosto;44,894;;;;;;;;;;;
;septiembre;45,296;;;;;;;;;;;
;octubre;45,246;;;;;;;;;;;
;noviembre;41,535;;;;;;;;;;;
;diciembre;41,91;;;;;;;;;;;
2014;enero;45,804;;;;;;;;;;;
;febrero;45,069;;;;;;;;;;;
;marzo;45,753;;;;;;;;;;;
;abril;46,008;;;;;;;;;;;
;mayo;45,321;;;;;;;;;;;
;junio;42,644;;;;;;;;;;;
;julio;41,442;;;;;;;;;;;
;agosto;40,047;;;;;;;;;;;
;septiembre;36,736;;;;;;;;;;;
;octubre;33,874;;;;;;;;;;;
;noviembre;41,512;;;;;;;;;;;
;diciembre;44,644;;;;;;;;;;;
2015;enero;47,201;;;;;;;;;;;
;febrero;50,423;;;;;;;;;;;
;marzo;45,6;;;;;;;;;;;
;abril;49,345;;;;;;;;;;;
;mayo;49,455;;;;;;;;;;;
;junio;46,627;;;;;;;;;;;
;julio;44;;;;;;;;;;;
;agosto;43,22;;;;;;;;;;;
;septiembre;42,406;;;;;;;;;;;
;octubre;39,688;;;;;;;;;;;
;noviembre;31,382;;;;;;;;;;;
;diciembre;23,9;;;;;;;;;;;
2016;enero;27,527;;;;;;;;;;;
;febrero;43,56;;;;;;;;;;;
;marzo;41,049;;;;;;;;;;;
;abril;48,209;;;;;;;;;;;
;mayo;48,343;;;;;;;;;;;
;junio;47,307;;;;;;;;;;;
;julio;49,373;;;;;;;;;;;
;agosto;47,254;;;;;;;;;;;
;septiembre;42,287;;;;;;;;;;;
;octubre;44,371;;;;;;;;;;;
;noviembre;43,293;;;;;;;;;;;
;diciembre;42,098;;;;;;;;;;;
2017;enero;37,322;;;;;;;;;;;
;febrero;45,347;;;;;;;;;;;
;marzo;43,1;;;;;;;;;;;
;abril;42,572;;;;;;;;;;;
;mayo;43,244;;;;;;;;;;;
;junio;40,613;;;;;;;;;;;
;julio;40,34;;;;;;;;;;;
;agosto;41,769;;;;;;;;;;;
;septiembre;31,328;;;;;;;;;;;
;octubre;28,447;;;;;;;;;;;
;noviembre;23,169;;;;;;;;;;;
;diciembre;24,897;;;;;;;;;;;
2018;enero;25,978;;;;;;;;;;;
;febrero;32,532;;;;;;;;;;;
;marzo;41,257;;;;;;;;;;;
;abril;45,676;;;;;;;;;;;
;mayo;43,317;;;;;;;;;;;
;junio;46,472;;;;;;;;;;;
;julio;42,907;;;;;;;;;;;
;agosto;43,196;;;;;;;;;;;
;septiembre;43,317;;;;;;;;;;;
;octubre;41,372;;;;;;;;;;;
;noviembre;44,074;;;;;;;;;;;
;diciembre;41,489;;;;;;;;;;;
2019;enero;40,047;;;;;;;;;;;
;febrero;44,123;;;;;;;;;;;
;marzo;41,98;;;;;;;;;;;
;abril;42,572;;;;;;;;;;;
;mayo;45,145;;;;;;;;;;;
;junio;45,094;;;;;;;;;;;
;julio;46,06;;;;;;;;;;;
;agosto;43,56;;;;;;;;;;;
;septiembre;42,907;;;;;;;;;;;
;octubre;41,233;;;;;;;;;;;
;noviembre;41,005;;;;;;;;;;;
;diciembre;45,069;;;;;;;;;;;
2020;enero;41,489;;;;;;;;;;;
;febrero;44,222;;;;;;;;;;;
;marzo;42,027;;;;;;;;;;;
;abril;45,246;;;;;;;;;;;
;mayo;43,976;;;;;;;;;;;
;junio;38,826;;;;;;;;;;;
;julio;37,154;;;;;;;;;;;
;agosto;36,986;;;;;;;;;;;
;septiembre;37,091;;;;;;;;;;;
;octubre;37,513;;;;;;;;;;;
;noviembre;36,488;;;;;;;;;;;
;diciembre;44,619;;;;;;;;;;;
2021;enero;49,209;;;;;;;;;;;
;febrero;44,222;;;;;;;;;;;
;marzo;46,188;;;;;;;;;;;
;abril;;;;;;;;;;;;
;mayo;;;;;;;;;;;;
;junio;;;;;;;;;;;;
;julio;;;;;;;;;;;;
;agosto;;;;;;;;;;;;
;septiembre;;;;;;;;;;;;
;octubre;;;;;;;;;;;;
;noviembre;;;;;;;;;;;;
;diciembre;;;;;;;;;;;;
 ; ; ;;;;;;;;;;;
(p): Provisional.  (a): Avance.  (e): Estimado ;;;;;;;;;;;;;
.. : No disponible.  - : No existe ;;;;;;;;;;;;;
Los años intermedios que no se muestran, no tienen datos ;;;;;;;;;;;;;
;;;;;;;;;;;;;
Fuente: Canal de Isabel II;;;;;;;;;;;;;
