anio;mes;hec_cub;;;;;;;;;;;
1998;enero;45,782;;;;;;;;;;;
;febrero;46,64;;;;;;;;;;;
;marzo;45,965;;;;;;;;;;;
;abril;46,209;;;;;;;;;;;
;mayo;43,954;;;;;;;;;;;
;junio;41,359;;;;;;;;;;;
;julio;43,338;;;;;;;;;;;
;agosto;37,611;;;;;;;;;;;
;septiembre;34,818;;;;;;;;;;;
;octubre;35,689;;;;;;;;;;;
;noviembre;38,217;;;;;;;;;;;
;diciembre;40,743;;;;;;;;;;;
1999;enero;43,806;;;;;;;;;;;
;febrero;45,116;;;;;;;;;;;
;marzo;45,904;;;;;;;;;;;
;abril;45,995;;;;;;;;;;;
;mayo;46,179;;;;;;;;;;;
;junio;43,836;;;;;;;;;;;
;julio;45,206;;;;;;;;;;;
;agosto;44,577;;;;;;;;;;;
;septiembre;44,547;;;;;;;;;;;
;octubre;39,696;;;;;;;;;;;
;noviembre;40,079;;;;;;;;;;;
;diciembre;39,914;;;;;;;;;;;
2000;enero;40,052;;;;;;;;;;;
;febrero;41,5;;;;;;;;;;;
;marzo;43,017;;;;;;;;;;;
;abril;44,19;;;;;;;;;;;
;mayo;41,528;;;;;;;;;;;
;junio;42,411;;;;;;;;;;;
;julio;42,096;;;;;;;;;;;
;agosto;41,5;;;;;;;;;;;
;septiembre;39,75;;;;;;;;;;;
;octubre;36,346;;;;;;;;;;;
;noviembre;40,632;;;;;;;;;;;
;diciembre;41,331;;;;;;;;;;;
2001;enero;41,897;;;;;;;;;;;
;febrero;40,994;;;;;;;;;;;
;marzo;45,934;;;;;;;;;;;
;abril;43,895;;;;;;;;;;;
;mayo;40,743;;;;;;;;;;;
;junio;39,532;;;;;;;;;;;
;julio;34,134;;;;;;;;;;;
;agosto;28,661;;;;;;;;;;;
;septiembre;25,069;;;;;;;;;;;
;octubre;26,598;;;;;;;;;;;
;noviembre;26,896;;;;;;;;;;;
;diciembre;25,545;;;;;;;;;;;
2002;enero;26,4;;;;;;;;;;;
;febrero;26,44;;;;;;;;;;;
;marzo;28,914;;;;;;;;;;;
;abril;30,606;;;;;;;;;;;
;mayo;36,321;;;;;;;;;;;
;junio;29,448;;;;;;;;;;;
;julio;23,993;;;;;;;;;;;
;agosto;22,086;;;;;;;;;;;
;septiembre;18,06;;;;;;;;;;;
;octubre;14,389;;;;;;;;;;;
;noviembre;16,87;;;;;;;;;;;
;diciembre;22,621;;;;;;;;;;;
2003;enero;30,851;;;;;;;;;;;
;febrero;35,613;;;;;;;;;;;
;marzo;48,45;;;;;;;;;;;
;abril;44,966;;;;;;;;;;;
;mayo;44,547;;;;;;;;;;;
;junio;39,668;;;;;;;;;;;
;julio;36,295;;;;;;;;;;;
;agosto;35,89;;;;;;;;;;;
;septiembre;34,159;;;;;;;;;;;
;octubre;32,987;;;;;;;;;;;
;noviembre;36,016;;;;;;;;;;;
;diciembre;38,536;;;;;;;;;;;
2004;enero;42,239;;;;;;;;;;;
;febrero;43,279;;;;;;;;;;;
;marzo;44,309;;;;;;;;;;;
;abril;44,966;;;;;;;;;;;
;mayo;46,087;;;;;;;;;;;
;junio;42,699;;;;;;;;;;;
;julio;41,812;;;;;;;;;;;
;agosto;40,854;;;;;;;;;;;
;septiembre;38,111;;;;;;;;;;;
;octubre;37,585;;;;;;;;;;;
;noviembre;36,27;;;;;;;;;;;
;diciembre;28,745;;;;;;;;;;;
2005;enero;27,097;;;;;;;;;;;
;febrero;27,89;;;;;;;;;;;
;marzo;32,239;;;;;;;;;;;
;abril;37,769;;;;;;;;;;;
;mayo;41,557;;;;;;;;;;;
;junio;38,137;;;;;;;;;;;
;julio;33,2;;;;;;;;;;;
;agosto;32,123;;;;;;;;;;;
;septiembre;11,646;;;;;;;;;;;
;octubre;12,547;;;;;;;;;;;
;noviembre;18,76;;;;;;;;;;;
;diciembre;18,519;;;;;;;;;;;
2006;enero;23,325;;;;;;;;;;;
;febrero;27,603;;;;;;;;;;;
;marzo;42,211;;;;;;;;;;;
;abril;39,914;;;;;;;;;;;
;mayo;30,274;;;;;;;;;;;
;junio;14,064;;;;;;;;;;;
;julio;12,329;;;;;;;;;;;
;agosto;2,404;;;;;;;;;;;
;septiembre;2,444;;;;;;;;;;;
;octubre;2,197;;;;;;;;;;;
;noviembre;2,63;;;;;;;;;;;
;diciembre;7,291;;;;;;;;;;;
2007;enero;13,671;;;;;;;;;;;
;febrero;22,918;;;;;;;;;;;
;marzo;24,011;;;;;;;;;;;
;abril;26,322;;;;;;;;;;;
;mayo;44,309;;;;;;;;;;;
;junio;44,996;;;;;;;;;;;
;julio;43,075;;;;;;;;;;;
;agosto;33,917;;;;;;;;;;;
;septiembre;27,932;;;;;;;;;;;
;octubre;22,103;;;;;;;;;;;
;noviembre;3,54;;;;;;;;;;;
;diciembre;5,511;;;;;;;;;;;
2008;enero;8,062;;;;;;;;;;;
;febrero;9,676;;;;;;;;;;;
;marzo;10,36;;;;;;;;;;;
;abril;28,999;;;;;;;;;;;
;mayo;43,954;;;;;;;;;;;
;junio;40,604;;;;;;;;;;;
;julio;36,987;;;;;;;;;;;
;agosto;33,342;;;;;;;;;;;
;septiembre;34,062;;;;;;;;;;;
;octubre;33,413;;;;;;;;;;;
;noviembre;35,438;;;;;;;;;;;
;diciembre;32,216;;;;;;;;;;;
2009;enero;34,996;;;;;;;;;;;
;febrero;45,327;;;;;;;;;;;
;marzo;44,013;;;;;;;;;;;
;abril;40,687;;;;;;;;;;;
;mayo;44,636;;;;;;;;;;;
;junio;44,131;;;;;;;;;;;
;julio;39,288;;;;;;;;;;;
;agosto;39,532;;;;;;;;;;;
;septiembre;36,627;;;;;;;;;;;
;octubre;34,671;;;;;;;;;;;
;noviembre;30,187;;;;;;;;;;;
;diciembre;20,719;;;;;;;;;;;
2010;enero;27,747;;;;;;;;;;;
;febrero;38,509;;;;;;;;;;;
;marzo;42,125;;;;;;;;;;;
;abril;43,134;;;;;;;;;;;
;mayo;44,368;;;;;;;;;;;
;junio;44,013;;;;;;;;;;;
;julio;42,844;;;;;;;;;;;
;agosto;41,134;;;;;;;;;;;
;septiembre;35,689;;;;;;;;;;;
;octubre;34,451;;;;;;;;;;;
;noviembre;35,513;;;;;;;;;;;
;diciembre;39,018;;;;;;;;;;;
2011;enero;42,411;;;;;;;;;;;
;febrero;46,887;;;;;;;;;;;
;marzo;46,825;;;;;;;;;;;
;abril;48,171;;;;;;;;;;;
;mayo;45,599;;;;;;;;;;;
