anio;mes;hec_cub;;;;;;;;;;;
1998;enero;76,953;;;;;;;;;;;
;febrero;78,44;;;;;;;;;;;
;marzo;78,067;;;;;;;;;;;
;abril;82,716;;;;;;;;;;;
;mayo;85,453;;;;;;;;;;;
;junio;78,627;;;;;;;;;;;
;julio;77,602;;;;;;;;;;;
;agosto;76,4;;;;;;;;;;;
;septiembre;76,216;;;;;;;;;;;
;octubre;76,307;;;;;;;;;;;
;noviembre;77,046;;;;;;;;;;;
;diciembre;79,096;;;;;;;;;;;
1999;enero;78,721;;;;;;;;;;;
;febrero;79,472;;;;;;;;;;;
;marzo;79,756;;;;;;;;;;;
;abril;78,347;;;;;;;;;;;
;mayo;78,354;;;;;;;;;;;
;junio;72,32;;;;;;;;;;;
;julio;63,954;;;;;;;;;;;
;agosto;55,169;;;;;;;;;;;
;septiembre;48,825;;;;;;;;;;;
;octubre;49,349;;;;;;;;;;;
;noviembre;45,627;;;;;;;;;;;
;diciembre;44,105;;;;;;;;;;;
2000;enero;42,682;;;;;;;;;;;
;febrero;40,247;;;;;;;;;;;
;marzo;35,839;;;;;;;;;;;
;abril;51,95;;;;;;;;;;;
;mayo;58,011;;;;;;;;;;;
;junio;49,716;;;;;;;;;;;
;julio;39,542;;;;;;;;;;;
;agosto;32,612;;;;;;;;;;;
;septiembre;26,441;;;;;;;;;;;
;octubre;19,732;;;;;;;;;;;
;noviembre;22,794;;;;;;;;;;;
;diciembre;49,569;;;;;;;;;;;
2001;enero;80,418;;;;;;;;;;;
;febrero;80,134;;;;;;;;;;;
;marzo;84,272;;;;;;;;;;;
;abril;82,426;;;;;;;;;;;
;mayo;80,893;;;;;;;;;;;
;junio;74,299;;;;;;;;;;;
;julio;66,287;;;;;;;;;;;
;agosto;59,379;;;;;;;;;;;
;septiembre;53,24;;;;;;;;;;;
;octubre;52,555;;;;;;;;;;;
;noviembre;46,683;;;;;;;;;;;
;diciembre;38,404;;;;;;;;;;;
2002;enero;35,899;;;;;;;;;;;
;febrero;35,071;;;;;;;;;;;
;marzo;40,961;;;;;;;;;;;
;abril;45,697;;;;;;;;;;;
;mayo;46,188;;;;;;;;;;;
;junio;41,223;;;;;;;;;;;
;julio;33,74;;;;;;;;;;;
;agosto;26,441;;;;;;;;;;;
;septiembre;21,73;;;;;;;;;;;
;octubre;20,671;;;;;;;;;;;
;noviembre;26,347;;;;;;;;;;;
;diciembre;55,403;;;;;;;;;;;
2003;enero;68,79;;;;;;;;;;;
